slug_game;town;country;continent
albertville-1992;albertville;france;europe
amsterdam-1928;amsterdam;netherlands;europe
antwerp-1920;antwerp;belgium;europe
athens-1896;athens;greece;europe
athens-2004;athens;greece;europe
atlanta-1996;atlanta;usa;america
barcelona-1992;barcelona;spain;europe
beijing-2008;beijing;china;asia
beijing-2022;beijing;china;asia
berlin-1936;berlin;germany;europe
calgary-1988;calgary;canada;america
chamonix-1924;chamonix;france;europe
cortina-d-ampezzo-1956;cortina-d-ampezzo;italy;europe
garmisch-partenkirchen-1936;garmisch-partenkirchen;germany;europe
grenoble-1968;grenoble;france;europe
helsinki-1952;helsinki;finland;europe
innsbruck-1964;innsbruck;austria;europe
innsbruck-1976;innsbruck;austria;europe
lake-placid-1932;lake-placid;usa;america
lake-placid-1980;lake-placid;usa;america
lillehammer-1994;lillehammer;norway;europe
london-1908;london;united kingdom;europe
london-1948;london;united kingdom;europe
london-2012;london;united kingdom;europe
los-angeles-1932;los-angeles;usa;america
los-angeles-1984;los-angeles;usa;america
melbourne-1956;melbourne;australia;oceania
mexico-city-1968;mexico-city;mexico;america
montreal-1976;montreal;canada;america
moscow-1980;moscow;russia;asia
munich-1972;munich;germany;europe
nagano-1998;nagano;japan;asia
oslo-1952;oslo;norway;europe
paris-1900;paris;france;europe
paris-1924;paris;france;europe
pyeongchang-2018;pyeongchang;south corea;asia
rio-2016;rio;brazil;america
rome-1960;rome;italy;europe
salt-lake-city-2002;salt-lake-city;usa;america
sapporo-1972;sapporo;japan;asia
sarajevo-1984;sarajevo;bosnia;europe
seoul-1988;seoul;south corea;asia
sochi-2014;sochi;russia;asia
squaw-valley-1960;squaw-valley;usa;america
st-louis-1904;st-louis;usa;america
st-moritz-1928;st-moritz;switzerland;europe
st-moritz-1948;st-moritz;switzerland;europe
stockholm-1912;stockholm;sweden;europe
sydney-2000;sydney;australia;oceania
tokyo-1964;tokyo;japan;asia
tokyo-2020;tokyo;japan;asia
turin-2006;turin;italy;europe
vancouver-2010;vancouver;canada;america